Company,Name,Ratio,Units,Opening Date,Closing Date,Book Closure Date,Issue Manager,Status
TDBL,Triveni Bikas Bank Limited,1:01,9197712,2017-03-25,2017-05-08,2017-03-10,NIBL Capital Market Limited,Closed
TNBL,Tourism Development Bank Limited,10:03.5,1194796,2017-05-01,2017-06-04,2017-04-19,Siddhartha Capital Limited,Closed
TNBL,Tourism Development Bank Limited,4:01,546193,2016-03-10,2016-04-13,2016-02-28,Siddhartha Capital Ltd.,Closed
TNBL,Tourism Development Bank Limited,4:01,322000,2014-08-14,2014-09-17,2014-07-30,Citizen Investment Trust,Closed
TPC,Terhathum Power Company Limited,1:01,4000000,2025-06-30,2025-07-20,2025-05-18,Nabil Investment Banking Ltd.,Closed
TPC,Terhathum Power Company Limited,1:01,4000000,2025-06-30,2025-07-27,2025-05-19,Nabil Investment Banking Ltd.,Closed
UFIL,Unique Finance Ltd.,1:01,1000000,2011-09-25,2011-10-29,2011-09-15,Nabil Investment Banking Ltd.,Closed
UFIL,Unique Finance Ltd.,1:01,1000000,2011-09-25,2011-11-19,2011-09-15,Nabil Investment Banking Ltd.,Closed
UFL,United Finance Ltd.,4:01,1159836,2016-07-13,2016-09-10,2016-07-04,Nabil Investment Banking Limited,Closed
UIC,United Insurance Co. (Nepal) Ltd.,01:02.4,7257600,2019-08-20,2019-10-10,2019-07-30,NMB Capital Limited,Closed
UIC,United Insurance Co. (Nepal) Ltd.,01:01.5,1512000,2015-04-25,2015-05-30,2015-03-29,Global IME Capital Ltd.,Closed
UMB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited Promoter Share,5:01,110000,2019-02-25,2019-03-31,2019-01-30,Siddhartha Capital Ltd.,Closed
UPPER,Upper Tamakoshi Hydropower Ltd,1:01,105900000,2023-09-04,2023-10-09,2023-08-11,Sunrise Capital Limited & CIT,Closed
WDBL,Western Development Bank Limited,3:02,400000,2013-11-09,2013-12-14,2013-10-07,Growmore Merchant Banker Ltd.,Closed
WDBL,Western Development Bank Limited,1:01,1569600,2016-12-06,2017-01-24,2017-01-25,Prabhu Capital Limited,Closed
WOMI,Womi Microfinance Bittiya Sanstha Ltd.,1:01,1010880,2019-07-25,2019-08-28,2019-07-12,Siddhartha Capital Limited,Closed
WOMI,Womi Microfinance Bittiya Sanstha Ltd.,2:01,180000,2016-08-28,2016-10-01,2016-08-05,Siddhartha Capital Limited,Closed
WOMI,Womi Microfinance Bittiya Sanstha Ltd.,10:03,233280,2018-05-29,2018-07-03,2018-05-18,Siddhartha Capital Limited,Closed
