Company,Normalized name,Bonus %,Cash %,Total %,Book Close,Fiscal Year,Status
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,21%,0%,21%,2022-03-31,2077/2078,Closed
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,8.85%,0%,8.85%,2021-03-31,2076/2077,Closed
ADBL,Agriculture Development Bank Limited,3%,7.53%,10.53%,2024-12-31,2080/2081,Closed
ADBL,Agriculture Development Bank Limited,2%,11%,13%,2023-03-14,2078/2079,Closed
ADBL,Agriculture Development Bank Limited,20%,1.05%,21.05%,2021-12-31,2077/2078,Closed
ADBL,Agriculture Development Bank Limited,15%,0.79%,15.79%,2020-12-30,2076/2077,Closed
ADBL,Agriculture Development Bank Limited,6%,24%,30%,2019-12-29,2075/2076,Closed
ADBL,Agriculture Development Bank Limited,6%,15.05%,21.05%,2019-02-28,2074/2075,Closed
ADBL,Agriculture Development Bank Limited,20%,1.05%,21.05%,2018-01-29,2073/2074,Closed
ADBL,Agriculture Development Bank Limited,20%,1.05%,21.05%,2017-04-03,2072/2073,Closed
ADBL,Agriculture Development Bank Limited,15%,0.79%,15.79%,2016-04-11,2071/2072,Closed
ADBL,Agriculture Development Bank Limited,7%,8%,15%,2015-04-19,2070/2071,Closed
ADBL,Agriculture Development Bank Limited,0%,31.58%,31.58%,2014-05-02,2069/2070,Closed
ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,20%,1.05%,21.05%,2023-02-28,2078/2079,Closed
AHPC,Arun Valley Hydropower Development Co. Ltd.,3%,0.16%,3.16%,2024-10-21,2080/2081,Closed
AHPC,Arun Valley Hydropower Development Co. Ltd.,8%,0.42%,8.42%,2023-02-01,2078/2079,Closed
AHPC,Arun Valley Hydropower Development Co. Ltd.,10%,0.53%,10.53%,2021-09-27,2077/2078,Closed
AHPC,Arun Valley Hydropower Development Co. Ltd.,5%,0.26%,5.26%,2020-12-11,2076/2077,Closed
AHPC,Arun Valley Hydropower Development Co. Ltd.,7%,0.37%,7.37%,2019-12-26,2075/2076,Closed
AHPC,Arun Valley Hydropower Development Co. Ltd.,10%,0.53%,10.53%,2017-08-25,2073/2074,Closed
AHPC,Arun Valley Hydropower Development Co. Ltd.,10%,0.53%,10.53%,2016-08-15,2072/2073,Closed
AHPC,Arun Valley Hydropower Development Co. Ltd.,0%,11%,11%,2015-08-27,2071/2072,Closed
AHPC,Arun Valley Hydropower Development Co. Ltd.,10%,0.53%,10.53%,2014-08-22,2070/2071,Closed
AHPC,Arun Valley Hydropower Development Co. Ltd.,15%,0.75%,15.75%,2013-08-09,2069/2070,Closed
AKBSL,Adhikhola Laghubitta Bittiya Sanstha Limited,30%,1.58%,31.58%,2023-01-17,2078/2079,Closed
AKBSL,Adhikhola Laghubitta Bittiya Sanstha Limited,19%,1%,20%,2022-01-02,2077/2078,Closed
AKPL,Arun Kabeli Power Ltd.,10%,0.53%,10.53%,2022-11-04,2078/2079,Closed
AKPL,Arun Kabeli Power Ltd.,17%,0.89%,17.89%,2021-08-31,2077/2078,Closed
AKPL,Arun Kabeli Power Ltd.,5.71%,0.29%,6%,2020-11-27,2076/2077,Closed
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,14.25%,0.75%,15%,2024-11-10,2080/2081,Closed
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,14.29%,0.71%,15%,2023-03-10,2078/2079,Closed
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,25%,1.32%,26.32%,2021-10-29,2077/2078,Closed
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,15%,0.79%,15.79%,2020-12-27,2076/2077,Closed
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,12%,0.63%,12.63%,2019-10-02,2075/2076,Closed
ALICL,Asian Life Insurance Co. Limited,3.60%,0%,3.60%,2025-07-04,2080/2081,Closed
ALICL,Asian Life Insurance Co. Limited,7.75%,0.41%,8.16%,2024-02-20,2079/2080,Closed
ALICL,Asian Life Insurance Co. Limited,8.50%,0.45%,8.95%,2023-04-21,2078/2079,Closed
ALICL,Asian Life Insurance Co. Limited,14.50%,0.76%,15.26%,2022-09-20,2077/2078,Closed
ALICL,Asian Life Insurance Co. Limited,25%,2%,27%,2022-01-26,2076/2077,Closed
ALICL,Asian Life Insurance Co. Limited,4%,0.21%,4.21%,2018-05-18,2073/2074,Closed
ALICL,Asian Life Insurance Co. Limited,20%,1.05%,21.05%,2017-03-16,2072/2073,Closed
ALICL,Asian Life Insurance Co. Limited,28.50%,1.50%,30%,2015-05-24,2070/2071,Closed
AMFI,Arambha Microfinance Bittiya Sanstha Ltd.,7.38%,0%,7.38%,2019-12-15,2075/2076,Closed
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,14.25%,0.75%,15%,2024-12-31,2080/2081,Closed
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,10%,5%,15%,2024-01-01,2079/2080,Closed
API,Api Power Company Ltd.,5%,0.26%,5.26%,2024-10-18,2080/2081,Closed
API,Api Power Company Ltd.,7.50%,0.39%,7.89%,2023-02-16,2078/2079,Closed
API,Api Power Company Ltd.,10.50%,0.55%,11.05%,2021-09-03,2077/2078,Closed
API,Api Power Company Ltd.,9%,0.47%,9.47%,2020-11-16,2076/2077,Closed
API,Api Power Company Ltd.,5%,0.26%,5.26%,2020-03-14,2075/2076,Closed
API,Api Power Company Ltd.,5%,0%,5%,2018-12-30,2074/2075,Closed
API,Api Power Company Ltd.,8%,0%,8%,2018-01-05,2073/2074,Closed
API,Api Power Company Ltd.,5%,0%,5%,2016-08-17,2072/2073,Closed
BARUN,Barun Hydropower Co. Ltd.,5%,0.26%,5.26%,2020-12-31,2076/2077,Closed
BARUN,Barun Hydropower Co. Ltd.,5%,0.26%,5.26%,2017-10-04,2073/2074,Closed
BBC,Bishal Bazar Company Limited,0%,14%,14%,2025-02-21,2075/2076,Closed
BGWT,Bhagawati Hydropower Development Company Limited,4%,10.74%,14.74%,2024-09-18,2080/2081,Closed
BGWT,Bhagawati Hydropower Development Company Limited,0%,10.53%,10.53%,2023-12-21,2079/2080,Closed
BHBL,Bhargav Bikash Bank Ltd.,0%,6%,6%,2019-05-04,2074/2075,Closed
BHBL,Bhargav Bikash Bank Ltd.,5.55%,0.29%,5.84%,2018-05-10,2073/2074,Closed
BHBL,Bhargav Bikash Bank Ltd.,20%,1.05%,21.05%,2016-12-25,2072/2073,Closed
BHBL,Bhargav Bikash Bank Ltd.,20%,1.05%,21.05%,2016-06-29,2071/2072,Closed
BHDC,Bindhyabasini Hydropower Development Company Limited,8%,0%,8%,2024-11-13,2080/2081,Closed
BHDC,Bindhyabasini Hydropower Development Company Limited,0%,5.26%,5.26%,2024-01-02,2079/2080,Closed
BHDC,Bindhyabasini Hydropower Development Company Limited,5%,0.03%,5.03%,2022-12-28,2078/2079,Closed
BNL,Bottlers Nepal (Balaju) Limited,0%,20%,20%,2023-01-04,2078/2079,Closed
BNL,Bottlers Nepal (Balaju) Limited,0%,20%,20%,2018-09-17,2074/2075,Closed
BNL,Bottlers Nepal (Balaju) Limited,0%,60%,60%,2013-11-26,2069/2070,Closed
BNT,Bottlers Nepal (Terai) Limited,0%,50%,50%,2025-01-03,2080/2081,Closed
BNT,Bottlers Nepal (Terai) Limited,0%,60%,60%,2024-01-05,2079/2080,Closed
BNT,Bottlers Nepal (Terai) Limited,0%,60%,60%,2023-01-04,2078/2079,Closed
BNT,Bottlers Nepal (Terai) Limited,0%,40%,40%,2019-10-31,2075/2076,Closed
BNT,Bottlers Nepal (Terai) Limited,0%,40%,40%,2018-09-18,2074/2075,Closed
BNT,Bottlers Nepal (Terai) Limited,0%,25%,25%,2017-11-27,2073/2074,Closed
BNT,Bottlers Nepal (Terai) Limited,0%,25%,25%,2015-12-28,2071/2072,Closed
BNT,Bottlers Nepal (Terai) Limited,0%,22%,22%,2014-12-28,2070/2071,Closed
BOKL,Bank of Kathmandu Ltd.,6%,14.95%,20.95%,2022-11-25,2078/2079,Closed
BOKL,Bank of Kathmandu Ltd.,10%,4%,14%,2021-11-26,2077/2078,Closed
BOKL,Bank of Kathmandu Ltd.,13%,3%,16%,2020-11-13,2076/2077,Closed
BOKL,Bank of Kathmandu Ltd.,6%,11%,17%,2019-10-03,2075/2076,Closed
BOKL,Bank of Kathmandu Ltd.,14%,11%,25%,2019-01-14,2074/2075,Closed
BOKL,Bank of Kathmandu Ltd.,13.25%,0%,13.25%,2018-06-22,2073/2074,Closed
BOKL,Bank of Kathmandu Ltd.,23%,0%,23%,2017-02-26,2072/2073,Closed
BPCL,Butwal Power Company Limited,0%,5%,5%,2025-01-02,2080/2081,Closed
BPCL,Butwal Power Company Limited,0%,5%,5%,2024-01-04,2079/2080,Closed
BPCL,Butwal Power Company Limited,5%,7.50%,12.50%,2023-01-02,2078/2079,Closed
BPCL,Butwal Power Company Limited,10%,10%,20%,2021-12-26,2077/2078,Closed
BPCL,Butwal Power Company Limited,10%,15%,25%,2021-01-01,2076/2077,Closed
BPCL,Butwal Power Company Limited,10%,18%,28%,2019-12-25,2075/2076,Closed
BPCL,Butwal Power Company Limited,10%,18%,28%,2018-12-21,2074/2075,Closed
BPCL,Butwal Power Company Limited,0%,20%,20%,2018-05-10,2073/2074,Closed
BPCL,Butwal Power Company Limited,7%,20%,27%,2016-12-05,2072/2073,Closed
BPCL,Butwal Power Company Limited,0%,20%,20%,2015-12-02,2071/2072,Closed
BPCL,Butwal Power Company Limited,0%,15%,15%,2014-12-29,2070/2071,Closed
BPCL,Butwal Power Company Limited,0%,18%,18%,2014-02-05,2069/2070,Closed
C30MF,Citizens Super 30 Mutual Fund,0%,12.75%,12.75%,2025-08-29,2081/2082,Closed
C30MF,Citizens Super 30 Mutual Fund,0%,10%,10%,2024-10-09,2080/2081,Closed
CBBL,Chhimek Laghubitta Bikas Bank Limited,8%,7%,15%,2024-12-31,2080/2081,Closed
CBBL,Chhimek Laghubitta Bikas Bank Limited,5%,10%,15%,2024-01-02,2079/2080,Closed
CBBL,Chhimek Laghubitta Bikas Bank Limited,22%,3.26%,25.26%,2023-03-09,2078/2079,Closed
CBBL,Chhimek Laghubitta Bikas Bank Limited,27%,3%,30%,2021-12-22,2077/2078,Closed
CBBL,Chhimek Laghubitta Bikas Bank Limited,22%,7%,29%,2020-12-30,2076/2077,Closed
CBBL,Chhimek Laghubitta Bikas Bank Limited,27.11%,17.21%,44.32%,2019-12-02,2075/2076,Closed
CBBL,Chhimek Laghubitta Bikas Bank Limited,18%,22%,40%,2019-04-29,2074/2075,Closed
CBBL,Chhimek Laghubitta Bikas Bank Limited,19.89%,25.11%,45%,2017-10-23,2073/2074,Closed
CBBL,Chhimek Laghubitta Bikas Bank Limited,40%,12.70%,52.70%,2016-12-11,2072/2073,Closed
CBBL,Chhimek Laghubitta Bikas Bank Limited,40%,12.70%,52.70%,2015-12-11,2071/2072,Closed
CBBL,Chhimek Laghubitta Bikas Bank Limited,35%,10%,45%,2014-11-21,2070/2071,Closed
CBBL,Chhimek Laghubitta Bikas Bank Limited,33.23%,15%,48.23%,2013-12-08,2069/2070,Closed
CBL,Civil Bank Ltd,5%,0.26%,5.26%,2023-01-03,2078/2079,Closed
CBL,Civil Bank Ltd,5%,0.26%,5.26%,2022-01-04,2077/2078,Closed
CBL,Civil Bank Ltd,8%,0.42%,8.42%,2021-02-05,2076/2077,Closed
CBL,Civil Bank Ltd,0%,6.57%,6.57%,2019-12-09,2075/2076,Closed
CBL,Civil Bank Ltd,0%,4.05%,4.05%,2019-04-23,2074/2075,Closed
CBL,Civil Bank Ltd,10.25%,0.54%,10.79%,2019-04-23,2073/2074,Closed
CBL,Civil Bank Ltd,2.88%,0.15%,3.03%,2017-05-04,2072/2073,Closed
CBL,Civil Bank Ltd,6.75%,0.35%,7.10%,2016-01-06,2071/2072,Closed
CBL,Civil Bank Ltd,7%,1.50%,8.50%,2015-01-06,2070/2071,Closed
CBL,Civil Bank Ltd,0%,5.75%,5.75%,2013-10-08,2069/2070,Closed
CCBL,Century Commercial Bank Ltd.,4.75%,0.25%,5%,2022-12-19,2078/2079,Closed
CCBL,Century Commercial Bank Ltd.,5.75%,0.30%,6.05%,2022-01-03,2077/2078,Closed
CCBL,Century Commercial Bank Ltd.,5.25%,2.25%,7.50%,2020-12-31,2076/2077,Closed
CCBL,Century Commercial Bank Ltd.,2%,4.75%,6.75%,2020-03-13,2075/2076,Closed
CCBL,Century Commercial Bank Ltd.,2%,4.50%,6.50%,2019-04-12,2074/2075,Closed
CCBL,Century Commercial Bank Ltd.,5%,5%,10%,2018-02-23,2073/2074,Closed
CCBL,Century Commercial Bank Ltd.,10%,0%,10%,2017-03-31,2072/2073,Closed
CCBL,Century Commercial Bank Ltd.,9%,0.47%,9.47%,2016-01-22,2071/2072,Closed
CCBL,Century Commercial Bank Ltd.,6%,3.47%,9.47%,2015-02-11,2070/2071,Closed
CFCL,Central Finance Co. Ltd.,0%,5%,5%,2023-01-01,2078/2079,Closed
CFCL,Central Finance Co. Ltd.,7.70%,3.30%,11%,2022-01-02,2077/2078,Closed
CFCL,Central Finance Co. Ltd.,7%,3%,10%,2021-01-25,2076/2077,Closed
CFCL,Central Finance Co. Ltd.,0%,7%,7%,2020-02-11,2075/2076,Closed
CFCL,Central Finance Co. Ltd.,0%,7%,7%,2019-03-07,2074/2075,Closed
CFCL,Central Finance Co. Ltd.,8.77%,0%,8.77%,2018-10-31,2073/2074,Closed
CFCL,Central Finance Co. Ltd.,22.50%,1.74%,24.24%,2017-06-15,2072/2073,Closed
CFCL,Central Finance Co. Ltd.,33%,1.74%,34.74%,2016-01-03,2071/2072,Closed
CFCL,Central Finance Co. Ltd.,10%,0%,10%,2014-07-03,2069/2070,Closed
CHCL,Chilime Hydropower Company Limited,10%,2%,12%,2024-12-31,2080/2081,Closed
CHCL,Chilime Hydropower Company Limited,10%,5%,15%,2023-12-24,2079/2080,Closed
CHCL,Chilime Hydropower Company Limited,7.50%,7.50%,15%,2022-12-18,2078/2079,Closed
CHCL,Chilime Hydropower Company Limited,7.50%,7.50%,15%,2021-12-30,2077/2078,Closed
CHCL,Chilime Hydropower Company Limited,10%,10%,20%,2020-12-14,2076/2077,Closed
CHCL,Chilime Hydropower Company Limited,20%,5%,25%,2019-11-13,2075/2076,Closed
CHCL,Chilime Hydropower Company Limited,20%,5%,25%,2019-01-03,2074/2075,Closed
CHCL,Chilime Hydropower Company Limited,15%,10%,25%,2017-10-23,2073/2074,Closed
CHCL,Chilime Hydropower Company Limited,10%,10%,20%,2016-12-23,2072/2073,Closed
CHCL,Chilime Hydropower Company Limited,15%,12%,27%,2015-12-18,2071/2072,Closed
CHCL,Chilime Hydropower Company Limited,20%,15%,35%,2014-09-23,2070/2071,Closed
CHCL,Chilime Hydropower Company Limited,30%,10%,40%,2013-09-13,2069/2070,Closed
CHDC,CEDB Holdings Limited,11%,0%,11%,2024-09-23,2080/2081,Closed
CHDC,CEDB Holdings Limited,11%,0.58%,11.58%,2024-05-01,2078/2079,Closed
CHL,Chhyangdi Hydropower Ltd.,5%,0.26%,5.26%,2021-01-01,2076/2077,Closed
CHL,Chhyangdi Hydropower Ltd.,5%,0.26%,5.26%,2019-12-31,2075/2076,Closed
CIT,Citizen Investment Trust,7%,6%,13%,2025-01-06,2080/2081,Closed
CIT,Citizen Investment Trust,14%,0.74%,14.74%,2024-07-04,2079/2080,Closed
CIT,Citizen Investment Trust,25%,1.32%,26.32%,2023-07-04,2078/2079,Closed
CIT,Citizen Investment Trust,30%,1.58%,31.58%,2022-08-10,2077/2078,Closed
CIT,Citizen Investment Trust,9%,8.89%,17.89%,2021-06-22,2076/2077,Closed
CIT,Citizen Investment Trust,22%,1.16%,23.16%,2020-06-24,2075/2076,Closed
CIT,Citizen Investment Trust,22%,1.16%,23.16%,2019-09-05,2074/2075,Closed
CIT,Citizen Investment Trust,22.06%,1.16%,23.22%,2018-12-02,2073/2074,Closed
CIT,Citizen Investment Trust,22%,1.16%,23.16%,2018-04-05,2072/2073,Closed
CIT,Citizen Investment Trust,21.85%,1.15%,23%,2017-08-11,2071/2072,Closed
CIT,Citizen Investment Trust,35%,6.84%,41.84%,2016-02-28,2070/2071,Closed
CIT,Citizen Investment Trust,50%,2.63%,52.63%,2014-07-02,2069/2070,Closed
CLI,Citizen Life Insurance Company Limited,26.98%,1.42%,28.40%,2025-03-12,2080/2081,Closed
CLI,Citizen Life Insurance Company Limited,5%,0.26%,5.26%,2024-01-14,2079/2080,Closed
CMF1,Citizens Mutual Fund -1,0%,9%,9%,2024-10-09,2080/2081,Closed
CMF1,Citizens Mutual Fund -1,0%,40%,40%,2021-09-09,2077/2078,Closed
CMF1,Citizens Mutual Fund -1,0%,15%,15%,2020-10-01,2076/2077,Closed
CMF1,Citizens Mutual Fund -1,0%,7%,7%,2020-09-22,2075/2076,Closed
CMF2,CITIZENS MUTUAL FUND 2,0%,8.25%,8.25%,2025-08-29,2081/2082,Closed
CMF2,CITIZENS MUTUAL FUND 2,0%,6.50%,6.50%,2024-10-09,2080/2081,Closed
CMF2,CITIZENS MUTUAL FUND 2,0%,8%,8%,2023-09-05,2079/2080,Closed
CMF2,CITIZENS MUTUAL FUND 2,0%,40%,40%,2021-09-09,2077/2078,Closed
CMF2,CITIZENS MUTUAL FUND 2,0%,10%,10%,2020-10-01,2076/2077,Closed
CORBL,Corporate Development Bank Limited,5%,0.26%,5.26%,2023-02-22,2078/2079,Closed
CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,30%,1.58%,31.58%,2023-01-03,2078/2079,Closed
CZBIL,Citizen Bank International Limited,4%,0.21%,4.21%,2024-10-15,2080/2081,Closed
CZBIL,Citizen Bank International Limited,0%,5.79%,5.79%,2023-10-02,2079/2080,Closed
CZBIL,Citizen Bank International Limited,0%,9%,9%,2022-10-14,2078/2079,Closed
CZBIL,Citizen Bank International Limited,12.91%,3.09%,16%,2021-10-08,2077/2078,Closed
CZBIL,Citizen Bank International Limited,8%,3%,11%,2020-11-26,2076/2077,Closed
CZBIL,Citizen Bank International Limited,3%,12%,15%,2019-09-17,2075/2076,Closed
CZBIL,Citizen Bank International Limited,3.63%,1.64%,5.26%,2019-01-01,2074/2075,Closed
CZBIL,Citizen Bank International Limited,16%,1%,17%,2017-08-28,2073/2074,Closed
CZBIL,Citizen Bank International Limited,15.80%,0.83%,16.63%,2016-09-22,2072/2073,Closed
CZBIL,Citizen Bank International Limited,20%,1.05%,21.05%,2015-09-28,2071/2072,Closed
CZBIL,Citizen Bank International Limited,13%,5.95%,18.95%,2014-09-14,2070/2071,Closed
CZBIL,Citizen Bank International Limited,0%,15%,15%,2013-09-20,2069/2070,Closed
DBBL,Deva Bikas Bank Limited,8.55%,0%,8.55%,2020-05-18,2075/2076,Closed
DBBL,Deva Bikas Bank Limited,5.50%,0%,5.50%,2019-06-21,2074/2075,Closed
DBBL,Deva Bikas Bank Limited,17.10%,0.90%,18%,2017-09-11,2073/2074,Closed
DBBL,Deva Bikas Bank Limited,14%,0%,14%,2017-02-01,2072/2073,Closed
DBBL,Deva Bikas Bank Limited,7.69%,0.40%,8.09%,2016-02-17,2071/2072,Closed
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,9.50%,0.50%,10%,2025-01-01,2080/2081,Closed
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,10%,0.53%,10.53%,2024-03-28,2079/2080,Closed
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,10%,11.05%,21.05%,2023-03-03,2078/2079,Closed
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,20%,1.05%,21.05%,2021-09-28,2077/2078,Closed
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,15%,5%,20%,2021-03-23,2076/2077,Closed
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,30%,15%,45%,2020-01-27,2075/2076,Closed
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,10%,10%,20%,2019-01-10,2074/2075,Closed
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,16%,15%,31%,2017-12-29,2073/2074,Closed
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,35%,17.63%,52.63%,2017-02-13,2072/2073,Closed
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,50%,2.63%,52.63%,2015-12-13,2071/2072,Closed
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,35%,15%,50%,2014-12-02,2070/2071,Closed
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,20%,15%,35%,2013-12-27,2069/2070,Closed
EBL,Everest Bank Limited,10%,5.53%,15.53%,2024-09-24,2080/2081,Closed
EBL,Everest Bank Limited,10%,10.53%,20.53%,2023-10-03,2079/2080,Closed
EBL,Everest Bank Limited,13%,7.68%,20.68%,2022-11-29,2078/2079,Closed
EBL,Everest Bank Limited,6%,4.32%,10.32%,2021-12-03,2077/2078,Closed
EBL,Everest Bank Limited,5%,5.53%,10.53%,2020-12-25,2076/2077,Closed
EBL,Everest Bank Limited,5%,20%,25%,2019-12-20,2075/2076,Closed
EBL,Everest Bank Limited,0%,20%,20%,2018-12-12,2074/2075,Closed
EBL,Everest Bank Limited,33%,1.74%,34.74%,2017-12-28,2073/2074,Closed
EBL,Everest Bank Limited,70%,3.68%,73.68%,2016-12-21,2072/2073,Closed
EBL,Everest Bank Limited,30%,6.57%,36.57%,2015-12-01,2071/2072,Closed
EBL,Everest Bank Limited,12%,50%,62%,2014-09-03,2070/2071,Closed
EBL,Everest Bank Limited,10%,50.53%,60.53%,2013-09-18,2069/2070,Closed
EDBL,Excel Development Bank Ltd.,8.50%,0.45%,8.95%,2022-07-12,2077/2078,Closed
EDBL,Excel Development Bank Ltd.,12%,0.63%,12.63%,2021-09-17,2076/2077,Closed
EDBL,Excel Development Bank Ltd.,17.10%,0.90%,18%,2020-03-20,2075/2076,Closed
EDBL,Excel Development Bank Ltd.,0%,17%,17%,2019-03-11,2074/2075,Closed
EDBL,Excel Development Bank Ltd.,30.12%,1.58%,31.70%,2017-11-21,2073/2074,Closed
EDBL,Excel Development Bank Ltd.,25%,1.31%,26.31%,2017-03-20,2072/2073,Closed
EDBL,Excel Development Bank Ltd.,26%,1.36%,27.36%,2016-03-29,2071/2072,Closed
EDBL,Excel Development Bank Ltd.,35%,1.84%,36.84%,2014-12-26,2070/2071,Closed
EDBL,Excel Development Bank Ltd.,50%,2.64%,52.64%,2013-12-31,2069/2070,Closed
EIC,Everest Insurance Co. Ltd.,6%,0.32%,6.32%,2022-04-25,2077/2078,Closed
EIC,Everest Insurance Co. Ltd.,8%,0.42%,8.42%,2021-05-12,2076/2077,Closed
EIC,Everest Insurance Co. Ltd.,10%,0%,10%,2018-04-09,2073/2074,Closed
EIC,Everest Insurance Co. Ltd.,20%,0%,20%,2017-06-23,2072/2073,Closed
ENL,Emerging Nepal Limited,0%,8.42%,8.42%,2023-11-22,2079/2080,Closed
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,9%,0.47%,9.47%,2024-12-08,2080/2081,Closed
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,7.50%,7.50%,15%,2023-12-28,2079/2080,Closed
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,19%,1%,20%,2023-01-01,2078/2079,Closed
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,10%,0.53%,10.53%,2021-11-21,2077/2078,Closed
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,9.50%,4.18%,13.68%,2020-11-20,2076/2077,Closed
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,17%,0.89%,17.89%,2019-10-01,2075/2076,Closed
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,0%,12.63%,12.63%,2018-10-03,2074/2075,Closed
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,15%,0.79%,15.79%,2017-09-12,2073/2074,Closed
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,15%,0.79%,15.79%,2016-09-21,2072/2073,Closed
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,15%,0.79%,15.79%,2015-11-01,2071/2072,Closed
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,0%,15.79%,15.79%,2014-09-01,2070/2071,Closed
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,0%,15%,15%,2013-09-23,2069/2070,Closed
FOWAD,Forward Microfinance Bittiya Sanstha Ltd.,13.30%,0.30%,13.60%,2024-11-29,2080/2081,Closed
FOWAD,Forward Microfinance Bittiya Sanstha Ltd.,25%,5%,30%,2023-01-01,2078/2079,Closed
FOWAD,Forward Microfinance Bittiya Sanstha Ltd.,35%,7%,42%,2021-12-31,2077/2078,Closed
FOWAD,Forward Microfinance Bittiya Sanstha Ltd.,25%,6.58%,31.58%,2021-02-17,2076/2077,Closed
FOWAD,Forward Microfinance Bittiya Sanstha Ltd.,32.50%,12.50%,45%,2019-12-31,2075/2076,Closed
FOWAD,Forward Microfinance Bittiya Sanstha Ltd.,25%,20%,45%,2018-12-30,2074/2075,Closed
FOWAD,Forward Microfinance Bittiya Sanstha Ltd.,50%,15%,65%,2018-03-01,2073/2074,Closed
GBBL,Garima Bikas Bank Limited,0%,5%,5%,2025-01-02,2080/2081,Closed
GBBL,Garima Bikas Bank Limited,9.50%,0.50%,10%,2024-01-02,2079/2080,Closed
GBBL,Garima Bikas Bank Limited,13%,1.50%,14.50%,2022-12-23,2078/2079,Closed
GBBL,Garima Bikas Bank Limited,16%,0%,16%,2022-03-18,2077/2078,Closed
GBBL,Garima Bikas Bank Limited,13.50%,0.71%,14.21%,2021-01-25,2076/2077,Closed
GBBL,Garima Bikas Bank Limited,16.15%,0.85%,17%,2019-11-29,2075/2076,Closed
GBBL,Garima Bikas Bank Limited,10%,3.75%,13.75%,2018-09-28,2074/2075,Closed
GBBL,Garima Bikas Bank Limited,15%,0%,15%,2017-12-29,2073/2074,Closed
GBBL,Garima Bikas Bank Limited,20%,0%,20%,2017-02-03,2072/2073,Closed
GBBL,Garima Bikas Bank Limited,20%,0%,20%,2015-12-29,2071/2072,Closed
GBBL,Garima Bikas Bank Limited,20%,1.05%,21.05%,2014-11-11,2070/2071,Closed
GBBL,Garima Bikas Bank Limited,20%,5%,25%,2013-09-19,2069/2070,Closed
GBIME,Global IME Bank Limited,5.50%,0%,5.50%,2024-11-24,2080/2081,Closed
GBIME,Global IME Bank Limited,1%,8%,9%,2023-11-29,2079/2080,Closed
GBIME,Global IME Bank Limited,3%,10.60%,13.60%,2022-11-23,2078/2079,Closed
GBIME,Global IME Bank Limited,10%,3.50%,13.50%,2021-11-29,2077/2078,Closed
GBIME,Global IME Bank Limited,14%,2%,16%,2020-12-30,2076/2077,Closed
GBIME,Global IME Bank Limited,12.75%,12.75%,25.50%,2019-11-07,2075/2076,Closed
GBIME,Global IME Bank Limited,16%,0%,16%,2018-12-28,2074/2075,Closed
GBIME,Global IME Bank Limited,10%,10%,20%,2017-10-25,2073/2074,Closed
GBIME,Global IME Bank Limited,16%,0%,16%,2017-03-20,2072/2073,Closed
GBIME,Global IME Bank Limited,23%,0%,23%,2015-10-29,2071/2072,Closed
GBIME,Global IME Bank Limited,21%,4%,25%,2014-09-26,2070/2071,Closed
GBIME,Global IME Bank Limited,15%,0%,15%,2013-12-18,2069/2070,Closed
GCIL,Ghorahi Cement Industry Limited,15%,0%,15%,2024-01-01,2079/2080,Closed
GDBL,Gandaki Bikas Bank Limited,0%,17.32%,17.32%,2019-09-26,2075/2076,Closed
GDBL,Gandaki Bikas Bank Limited,0%,14.20%,14.20%,2018-12-26,2074/2075,Closed
