sn,Name,Symbol,Category,First Traded Price,First Traded Date,Last Traded Price,Last Traded Date,Note
651,Nabil Equity Fund,NEF,Mutual Fund,10.0,2017-02-02,9.9,2023-11-01,
652,National Microfinance Bittiya Sanstha Ltd.,NMFBS,Microfinance,506.0,2017-02-08,2380.0,2022-03-24,
653,RSDC Laghubitta Bittiya Sanstha Ltd.,RSDC,Microfinance,346.0,2017-02-08,662.01,2025-07-07,
654,Suryodaya Laghubitta Bittiya Sanstha Ltd.,SLBS,Microfinance,495.0,2017-02-08,1713.0,2021-08-31,
655,Dibyashwori Hydropower Ltd.,DHPL,Hydropower,348.0,2017-02-13,321.44,2025-07-07,
656,NIBL Pragati Fund,NIBLPF,Mutual Fund,10.0,2017-04-02,9.32,2024-01-08,
657,Arun Kabeli Power Ltd.,AKPL,Hydropower,326.0,2017-04-16,253.72,2025-07-07,
658,Synergy Power Development Ltd.,SPDL,Hydropower,246.0,2017-05-16,395.43,2025-07-07,
659,Forward Microfinance Bittiya Sanstha Ltd.,FOWAD,Microfinance,1051.0,2017-05-21,2311.0,2022-03-15,
660,United Modi Hydropower Ltd.,UMHL,Hydropower,329.0,2017-05-30,565.67,2025-07-07,
661,Samata Gharelu Laghubitta Bittiya Sanstha Limited,SMATA,Microfinance,403.0,2017-06-19,812.05,2025-07-07,
662,Chhyangdi Hydropower Ltd.,CHL,Hydropower,323.0,2017-08-03,323.5,2025-07-07,
663,Laxmi Equity Fund,LEMF,Mutual Fund,10.0,2017-08-03,9.47,2024-06-09,
664,Swadeshi Laghubitta Bittiya Sanstha Ltd.,SDESI,Microfinance,326.0,2017-08-10,800.0,2020-08-13,
665,Himalayan Power Partner Ltd.,HPPL,Hydropower,330.0,2017-08-20,502.11,2025-07-07,
666,Mahuli Laghubitta Bittiya Sanstha Limited,MSLB,Microfinance,1626.0,2017-08-27,1222.9,2025-07-07,
667,Nepal Hydro Developers Ltd.,NHDL,Hydropower,293.0,2017-11-14,657.34,2025-07-07,
668,Siddhartha Equity Fund,SEF,Mutual Fund,10.0,2018-01-16,10.1,2025-07-07,
669,Sanima Equity Fund,SAEF,Mutual Fund,10.05,2018-02-28,11.25,2024-12-22,
670,Support Microfinance Bittiya Sanstha Ltd.,SMB,Microfinance,307.0,2018-03-11,2167.95,2025-07-07,
671,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,USLB,Microfinance,,2018-03-14,1787.0,2025-07-07,
672,Radhi Bidyut Company Ltd,RADHI,Hydropower,155.0,2018-03-26,769.95,2025-07-07,
673,Arambha Microfinance Bittiya Sanstha Ltd.,AMFI,Microfinance,250.0,2018-04-05,529.0,2019-10-22,
674,Citizens Mutual Fund -1,CMF1,Mutual Fund,10.0,2018-04-24,10.85,2025-02-27,
675,NIC Asia Growth Fund,NICGF,Mutual Fund,10.0,2018-04-24,10.9,2025-03-09,
676,Wean Nepal Laghubitta Bittiya Sanstha Limited,WNLB,Microfinance,,2018-06-14,2112.49,2025-07-07,
677,Rairang Hydropower Development Company Ltd.,RRHP,Hydropower,266.0,2018-06-21,563.1,2021-11-03,
678,Nadep Laghubittiya bittya Sanstha Ltd.,NADEP,Microfinance,597.0,2018-08-23,832.0,2025-07-07,
679,Panchakanya Mai Hydropower Ltd,PMHPL,Hydropower,144.0,2018-10-10,388.38,2025-07-07,
680,Kalika power Company Ltd,KPCL,Hydropower,121.0,2018-10-11,537.93,2025-07-07,
681,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,Hydropower,102.0,2018-12-20,205.99,2025-07-07,
682,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,Microfinance,227.0,2019-01-07,1043.96,2025-07-07,
683,Joshi Hydropower Development Company Ltd,JOSHI,Hydropower,279.0,2019-01-07,324.99,2025-07-07,
684,Upper Tamakoshi Hydropower Ltd,UPPER,Hydropower,224.0,2019-01-13,195.43,2025-07-07,
685,Samudayik Laghubitta Bittiya Sanstha Limited,SLBSL,Microfinance,505.0,2019-01-21,1452.91,2025-07-07,
686,Ghalemdi Hydro Limited,GHL,Hydropower,300.0,2019-02-17,247.7,2025-07-07,
687,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,Microfinance,306.0,2019-03-11,817.19,2025-07-07,
688,SHIVAM CEMENTS LTD,SHIVM,Manufacturing And Processing,418.0,2019-03-24,510.55,2025-07-07,
689,UNIVERSAL POWER COMPANY LTD,UPCL,Hydropower,270.0,2019-03-24,386.2,2025-07-07,
690,Mountain Hydro Nepal Limited,MHNL,Hydropower,101.0,2019-04-17,271.78,2025-07-07,
691,Panchthar Power Compant Limited,PPCL,Hydropower,255.0,2019-05-05,371.25,2025-07-07,
692,Sparsha Laghubitta Bittiya Sanstha Limited,SPARS,Microfinance,302.0,2019-05-07,972.0,2020-10-06,
693,Himalaya Urja Bikas Company Limited,HURJA,Hydropower,144.0,2019-05-22,249.51,2025-07-07,
694,Gurans Laghubitta Bittiya Sanstha Limited,GLBSL,Microfinance,279.0,2019-06-02,2175.2,2025-07-07,
695,Ganapati Laghubitta Bittiya Sanstha Limited,GMFBS,Microfinance,237.0,2019-06-06,1584.85,2025-07-07,
696,Nepal Agro Laghubitta Bittiya Sanstha Limited,NAGRO,Microfinance,311.0,2019-06-12,720.0,2019-10-03,
697,Union Hydropower Limited,UNHPL,Hydropower,150.0,2019-06-12,419.72,2025-07-07,
698,10% Sanima Bank Limited Debenture,SAND2085,Corporate Debenture,1000.0,2019-06-16,1177.0,2025-06-30,
699,Swabhimaan Laghubitta Bittiya Sanstha Limited,SMFBS,Microfinance,281.0,2019-06-17,1734.34,2025-07-07,
700,Infinity Laghubitta Bittiya Sanstha Limited,ILBS,Microfinance,343.2,2019-07-08,844.23,2025-07-07,
