Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
106,2025-08-24,2744,GRDBL,Green Development Bank Ltd.,1149,1217,1149,,3131,3716674.3,1168.27,2001.4,617.4,2025-08-24T12:48:09.567432,1166.1,25,1187.05,
107,2025-08-24,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1305,1315,1295.1,,2185,2834386.1,1305,1639.5,1161,2025-08-24T12:49:05.923248,1297,13,1297.2,
108,2025-08-24,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,681,690,681,,1938,1329374,686.3,880,638,2025-08-24T12:50:22.603682,687,29,685.95,
109,2025-08-24,2751,KKHC,Khanikhola Hydropower Co. Ltd.,263,265,263,,627,165813,264.2,475.9,235.2,2025-08-24T12:42:31.10965,263,15,264.45,
110,2025-08-24,2754,DHPL,Dibyashwori Hydropower Ltd.,322,328,313,,9079,2861197,322.22,427.2,213.1,2025-08-24T12:50:09.681486,315,39,315.14,
111,2025-08-24,2757,AKPL,Arun Kabeli Power Ltd.,257.1,262,257.1,,26378,6860693.3,257.5,313,211.3,2025-08-24T12:49:56.458274,259.2,113,260.09,
112,2025-08-24,2758,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,1125,1130,1120,,2187,2454788.5,1136.77,1698,1059.3,2025-08-24T12:50:17.85972,1121,39,1122.44,
113,2025-08-24,2759,SPDL,Synergy Power Development Ltd.,397,401,396.1,,11457,4568143,397.56,465,260,2025-08-24T12:43:35.976848,398.3,47,398.72,
114,2025-08-24,2760,UMHL,United Modi Hydropower Ltd.,570,579.4,570,,14620,8425565.4,574.48,625,276.7,2025-08-24T12:49:51.454098,575.6,99,576.3,
115,2025-08-24,2761,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,939,939,907,,6320,5764948.9,923.78,1382,734.1,2025-08-24T12:49:49.041943,907,94,912.17,
116,2025-08-24,2766,CHL,Chhyangdi Hydropower Ltd.,295,300.9,292,,4955,1465885.5,297.2,599.7,276,2025-08-24T12:45:06.436429,295,34,295.83,
117,2025-08-24,2767,HPPL,Himalayan Power Partner Ltd.,488,502.9,488,,2030,1009816.4,495.15,711,290.1,2025-08-24T12:48:56.963985,497,31,497.44,
118,2025-08-24,2768,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,1498.3,1544.9,1498.3,,1453,2200634,1527.69,1851,1130.2,2025-08-24T12:47:39.177285,1511,30,1514.54,
119,2025-08-24,2769,NHDL,Nepal Hydro Developers Ltd.,727.62,734,723,,2327,1683025.2,727.62,1002.6,520,2025-08-24T12:43:57.181201,723,15,723.25,
120,2025-08-24,2770,SEF,Siddhartha Equity Fund,9.6,9.6,9.06,,20200,185615,9.48,11.5,8.72,2025-08-24T12:40:19.199731,9.06,11,9.18,
121,2025-08-24,2771,SMB,Support Microfinance Bittiya Sanstha Ltd.,2260,2305,2260,,152,348648.1,2289.92,4026.2,1690,2025-08-24T12:50:23.139353,2300,9,2293.73,
122,2025-08-24,2774,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,2141,2179.9,2140.1,,3161,6872271.2,2165.91,2750,1320,2025-08-24T12:36:21.86285,2179.9,19,2174.08,
123,2025-08-24,2776,RADHI,Radhi Bidyut Company Ltd,766,774,762,,18995,14523661.8,766.87,905.6,322.2,2025-08-24T12:41:09.241604,762.8,76,764.6,
124,2025-08-24,2781,WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,2200,2219.8,2177,,90,198568,2180.33,4271,1457,2025-08-24T12:21:09.340711,2209,6,2206.31,
125,2025-08-24,2784,NADEP,Nadep Laghubittiya bittya Sanstha Ltd.,848.9,849,841.1,,315,267353,849.04,1188,775,2025-08-24T12:33:37.933542,841.1,7,848.73,
126,2025-08-24,2786,PMHPL,Panchakanya Mai Hydropower Ltd,391,396,388.2,,34052,13351658.9,396.08,468,237.6,2025-08-24T12:48:46.664867,393.5,110,392.09,
127,2025-08-24,2787,KPCL,Kalika power Company Ltd,597,600,579.1,,23901,14028760.4,590.74,711,440,2025-08-24T12:44:39.271284,584,120,586.95,
128,2025-08-24,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,203.5,207,203.5,,12190,2499639.3,205.11,254,187.2,2025-08-24T12:47:32.630511,204.1,65,205.05,
129,2025-08-24,2789,JOSHI,Joshi Hydropower Development Company Ltd,308,313.4,307.1,,5183,1603403.9,310.04,521.6,265,2025-08-24T12:47:53.97778,309,53,309.35,
130,2025-08-24,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,1070,1157,1070,,435,485534,1070.26,1284.9,965,2025-08-24T12:39:45.284692,1132.9,21,1116.17,
131,2025-08-24,2792,UPPER,Upper Tamakoshi Hydropower Ltd,194,195.3,193.9,,45336,8809927.2,194.49,274,192,2025-08-24T12:50:19.314194,193.9,262,194.32,
132,2025-08-24,2804,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,1541.7,1599,1530,,6253,9628974,1573.13,3047,1180,2025-08-24T12:46:23.591922,1550,54,1539.89,
