Date,numTrans,tradedShares,amount,Close,Change,Percentage change,outcome
6/25/2015,1761,503481,241009683.6,930,2,0.22,1
6/28/2015,1936,1023820,388775873,938,8,0.86,1
6/29/2015,2079,606879,370641314.6,946,8,0.85,1
6/30/2015,2094,639393,341329225.3,949,3,0.32,1
7/1/2015,1677,426634,280317897.7,946,-3,-0.32,0
7/2/2015,1617,411948,211671310.3,939,-7,-0.74,0
7/5/2015,1459,437546,173035204.1,938,-1,-0.11,0
7/6/2015,1442,600584,259649920.5,937,-1,-0.11,0
7/7/2015,1611,760237,266306934.6,941,4,0.43,1
7/8/2015,1480,1046895,215980439.1,943,2,0.21,1
7/9/2015,1411,777582,363819184.5,943,0,0,1
7/12/2015,1423,389585,259310853.7,945,2,0.21,1
7/13/2015,1334,526431,212360470.4,944,-1,-0.11,0
7/14/2015,1393,977478,257897837.3,946,2,0.21,1
7/15/2015,1464,970394,342478757.8,951,5,0.53,1
7/16/2015,1749,612218,245582108.8,961,10,1.05,1
7/22/2015,2396,739648,389905745.7,963,2,0.21,1
7/23/2015,3459,1168211,538434350.6,"1,003.00",40,4.15,1
7/26/2015,795,1702370,339493266,"1,054.00",51,5.08,1
7/27/2015,5421,2226453,1300705562,"1,046.00",-8,-0.76,0
7/28/2015,3325,1128851,540060423.4,"1,028.00",-18,-1.72,0
7/29/2015,2670,1159447,423001664.3,"1,021.00",-7,-0.68,0
7/30/2015,3099,999041,451982082.1,"1,028.00",7,0.69,1
8/2/2015,1863,545766,263546678.7,"1,034.00",6,0.58,1
8/3/2015,3309,1346062,702005880.9,"1,030.00",-4,-0.39,0
8/4/2015,3929,993440,452153149.7,"1,030.00",0,0,1
8/5/2015,3638,909928,397890782.9,"1,034.00",4,0.39,1
8/6/2015,4755,1050045,664903787,"1,040.00",6,0.58,1
8/9/2015,4041,1110766,645100257.6,"1,063.00",23,2.21,1
8/10/2015,4339,1145217,731747189.6,"1,081.00",18,1.69,1
8/11/2015,3960,916738,559336219.5,"1,078.00",-3,-0.28,0
8/12/2015,4016,1054826,543632144.3,"1,077.00",-1,-0.09,0
8/13/2015,5131,1335795,701278445.5,"1,088.00",11,1.02,1
8/16/2015,6512,1615314,988047891.6,"1,112.00",24,2.21,1
8/17/2015,3666,1353622,825538754,"1,158.00",46,4.14,1
8/18/2015,4267,2628247,761298149.3,"1,160.00",2,0.17,1
8/19/2015,4491,1221936,666379482.9,"1,192.00",32,2.76,1
8/20/2015,5716,1612174,773029074.6,"1,201.00",9,0.76,1
8/23/2015,6576,1694373,583108695.3,"1,185.00",-16,-1.33,0
8/24/2015,2756,2048658,468086834.6,"1,182.00",-3,-0.25,0
8/25/2015,2082,778485,330868958.4,"1,181.00",-1,-0.08,0
8/26/2015,2068,857233,297896547.7,"1,176.00",-5,-0.42,0
8/27/2015,2682,1049984,824218855.9,"1,184.00",8,0.68,1
8/31/2015,2868,931860,613371929.6,"1,200.00",16,1.35,1
9/1/2015,2997,1219562,664016115.5,"1,191.00",-9,-0.75,0
9/2/2015,2722,1003805,707099999.8,"1,176.00",-15,-1.26,0
9/3/2015,2363,903408,559789041,"1,169.00",-7,-0.6,0
9/6/2015,2428,942568,524580010.8,"1,167.00",-2,-0.17,0
9/7/2015,2006,1799382,364074608.2,"1,171.00",4,0.34,1
9/8/2015,2193,820409,420458542.5,"1,175.00",4,0.34,1
9/9/2015,2021,766672,395780957.5,"1,173.00",-2,-0.17,0
9/10/2015,2300,1145672,471426452.1,"1,169.00",-4,-0.34,0
9/13/2015,2330,1178104,468162707,"1,184.00",15,1.28,1
9/14/2015,2742,1079422,572691564.8,"1,194.00",10,0.84,1
9/15/2015,2990,1075108,639238504,"1,205.84",11.84,0.99,1
9/16/2015,2729,1047681,584043597,"1,202.81",-3.03,-0.25,0
9/17/2015,3220,1129328,595009871.6,"1,196.02",-6.79,-0.56,0
9/22/2015,2639,836786,532943700.8,"1,156.08",-39.94,-3.34,0
9/23/2015,2312,804115,498814329,"1,183.36",27.28,2.36,1
9/24/2015,2934,986260,599206697,"1,176.86",-6.5,-0.55,0
9/28/2015,2368,684148,492624813,"1,160.09",-16.77,-1.42,0
9/29/2015,2319,783757,464431093.7,"1,169.30",9.21,0.79,1
9/30/2015,3054,927149,592401150.2,"1,181.28",11.98,1.02,1
10/1/2015,2180,684018,441914099.6,"1,178.74",-2.54,-0.22,0
10/4/2015,2469,721034,493083895.4,"1,183.48",4.74,0.4,1
10/5/2015,2068,488767,375390849.3,"1,171.27",-12.21,-1.03,0
10/6/2015,2182,782657,373609787,"1,158.79",-12.48,-1.07,0
10/7/2015,1784,750009,358706311.3,"1,149.45",-9.34,-0.81,0
10/8/2015,2090,1028873,543888777,"1,162.06",12.61,1.1,1
10/11/2015,1834,1263122,622559729.2,"1,143.88",-18.18,-1.56,0
10/14/2015,1423,395022,272915922,"1,135.09",-8.79,-0.77,0
10/15/2015,1509,524556,292628459.9,"1,134.47",-0.62,-0.05,0
10/18/2015,1296,405962,283548618.6,"1,119.83",-14.64,-1.29,0
10/19/2015,1156,684230,313924597.9,"1,127.42",7.59,0.68,1
10/25/2015,303,147912,60917199.99,"1,121.05",-6.37,-0.57,0
10/27/2015,1423,361616,207211550.9,"1,091.73",-29.32,-2.62,0
10/28/2015,2035,420683,258411499.4,"1,084.37",-7.36,-0.67,0
10/29/2015,1892,398259,279126686.4,"1,092.04",7.67,0.71,1
11/1/2015,1305,369124,185421229.6,"1,088.30",-3.74,-0.34,0
11/2/2015,1358,332532,182571212.9,"1,091.83",3.53,0.32,1
11/3/2015,1043,412810,174460047.4,"1,085.87",-5.96,-0.55,0
11/4/2015,1117,352496,162606233.8,"1,092.30",6.43,0.59,1
11/5/2015,1467,374587,223310401,"1,090.68",-1.62,-0.15,0
11/8/2015,1070,379623,189681335,"1,086.57",-4.11,-0.38,0
11/9/2015,1562,1056090,243757423.3,"1,107.43",20.86,1.92,1
11/10/2015,1302,404226,194612444.6,"1,109.29",1.86,0.17,1
11/15/2015,779,239110,156274463,"1,100.09",-9.2,-0.83,0
11/16/2015,1196,505439,184681458.4,"1,094.18",-5.91,-0.54,0
11/18/2015,1560,470815,214672262,"1,099.25",5.07,0.46,1
11/19/2015,1340,374878,203745000,"1,094.57",-4.68,-0.43,0
11/22/2015,1743,532551,241707830.7,"1,071.38",-23.19,-2.12,0
11/23/2015,2026,418169,237591552.1,"1,075.80",4.42,0.41,1
11/24/2015,3361,449838,210918518.9,"1,066.69",-9.11,-0.85,0
11/25/2015,2882,455293,220586894.1,"1,056.42",-10.27,-0.96,0
11/26/2015,2620,584014,333021728,"1,044.01",-12.41,-1.17,0
11/29/2015,2539,542532,321696166.6,"1,022.77",-21.24,-2.03,0
11/30/2015,2176,668614,275917741.9,"1,034.12",11.35,1.11,1
12/1/2015,2039,416811,207362213.5,"1,066.38",32.26,3.12,1
12/2/2015,2018,612830,290996187,"1,062.78",-3.6,-0.34,0
12/3/2015,2102,624534,366298337.1,"1,072.94",10.16,0.96,1
12/6/2015,2900,516820,356510183.5,"1,102.84",29.9,2.79,1
12/7/2015,3118,575985,388730313.6,"1,107.94",5.1,0.46,1
12/8/2015,2525,475346,313862748,"1,107.23",-0.71,-0.06,0
12/9/2015,3031,801687,421964664.3,"1,122.79",15.56,1.41,1
12/10/2015,2702,622453,385467383.9,"1,119.35",-3.44,-0.31,0
12/13/2015,3458,764274,341009578.3,"1,118.57",-0.78,-0.07,0
12/14/2015,2725,448481,236843724,"1,120.18",1.61,0.14,1
12/15/2015,2708,774665,472289058.5,"1,121.02",0.84,0.07,1
12/16/2015,3460,830425,443371274,"1,116.19",-4.83,-0.43,0
12/17/2015,3280,517584,420484536,"1,110.68",-5.51,-0.49,0
12/20/2015,4021,448019,311426665,"1,118.81",8.13,0.73,1
12/21/2015,4711,727190,504653979,"1,131.52",12.71,1.14,1
12/22/2015,4405,814958,532034847,"1,138.18",6.66,0.59,1
12/23/2015,4146,725903,430958344,"1,133.34",-4.84,-0.43,0
12/24/2015,4529,767309,462031141.8,"1,137.03",3.69,0.33,1
12/27/2015,3653,1163082,429863780.7,"1,135.47",-1.56,-0.14,0
12/28/2015,3756,613118,352010547,"1,131.95",-3.52,-0.31,0
12/29/2015,4467,995308,499561465,"1,142.17",10.22,0.9,1
12/31/2015,4255,1139628,556933422,"1,151.38",9.21,0.81,1
1/4/2016,3760,702650,492657726.6,"1,154.62",3.24,0.28,1
1/5/2016,4287,687872,419250731.7,"1,146.11",-8.51,-0.74,0
1/6/2016,4321,821382,445862931.1,"1,149.89",3.78,0.33,1
1/7/2016,4551,1009087,581980565.2,"1,164.14",14.25,1.24,1
1/10/2016,4973,976108,496282164,"1,167.18",3.04,0.26,1
1/11/2016,5038,793100,419764778.2,"1,168.81",1.63,0.14,1
1/12/2016,5964,750308,469618892.5,"1,173.60",4.79,0.41,1
1/13/2016,4752,1387314,508395071.1,"1,180.98",7.38,0.63,1
1/14/2016,6666,1223256,570855228.5,"1,190.16",9.18,0.78,1
1/17/2016,2568,825944,548103720.4,"1,212.00",21.84,1.84,1
1/18/2016,2795,883712,623305958,"1,214.31",2.31,0.19,1
1/19/2016,2067,659280,426989170,"1,213.71",-0.6,-0.05,0
1/20/2016,2188,663707,444382212,"1,213.57",-0.14,-0.01,0
1/21/2016,2274,727257,458952240.1,"1,212.32",-1.25,-0.1,0
1/24/2016,2369,801033,541706036.5,"1,219.62",7.3,0.6,1
1/25/2016,2543,756172,492082483,"1,222.43",2.81,0.23,1
1/26/2016,2018,695582,401026966.6,"1,218.39",-4.04,-0.33,0
1/27/2016,1886,623652,363955652.6,"1,216.96",-1.43,-0.12,0
1/28/2016,1696,568565,386744953.5,"1,216.11",-0.85,-0.07,0
1/31/2016,1976,628233,423465125.4,"1,220.70",4.59,0.38,1
2/1/2016,2897,936251,551997933.9,"1,238.02",17.32,1.42,1
2/2/2016,2979,1013336,559221207,"1,240.07",2.05,0.17,1
2/3/2016,2705,755613,559841555.7,"1,242.13",2.06,0.17,1
2/4/2016,3359,1140103,708025439.7,"1,251.42",9.29,0.75,1
2/7/2016,3751,1311734,754646328.9,"1,262.82",11.4,0.91,1
2/8/2016,3301,1119170,615516127.2,"1,263.75",0.93,0.07,1
2/11/2016,3068,890646,538684166,"1,263.72",-0.03,0,1
2/14/2016,2732,1759687,529092888,"1,259.35",-4.37,-0.35,0
2/15/2016,2229,978301,403303824.3,"1,258.23",-1.12,-0.09,0
2/16/2016,2191,1432281,455062940,"1,257.34",-0.89,-0.07,0
2/17/2016,2355,959187,494568209.2,"1,266.08",8.74,0.7,1
2/18/2016,3026,3344827,656611540.2,"1,273.28",7.2,0.57,1
2/21/2016,2742,1865015,631229133,"1,278.92",5.64,0.44,1
2/22/2016,2657,1692237,717464595.7,"1,291.81",12.89,1.01,1
2/23/2016,2366,1322067,555655779.5,"1,285.93",-5.88,-0.46,0
2/24/2016,1816,1011689,427146669.2,"1,279.90",-6.03,-0.47,0
2/25/2016,2111,2129444,512317483.4,"1,283.52",3.62,0.28,1
2/28/2016,2482,927124,534460697.2,"1,283.67",0.15,0.01,1
2/29/2016,2267,657310,522088583.9,"1,283.94",0.27,0.02,1
3/1/2016,2552,1048918,512721926,"1,289.52",5.58,0.43,1
3/2/2016,3226,1046888,603148270.8,"1,295.78",6.26,0.49,1
3/3/2016,2945,1083780,621876435.1,"1,300.76",4.98,0.38,1
3/6/2016,3628,1095394,782352891.6,"1,306.54",5.78,0.44,1
3/10/2016,4041,1844209,966763367.5,"1,318.03",11.49,0.88,1
3/13/2016,4287,1460603,1008216043,"1,318.88",0.85,0.06,1
3/14/2016,3109,1080461,659613957.3,"1,312.20",-6.68,-0.51,0
3/15/2016,3596,1196348,738294245.1,"1,312.85",0.65,0.05,1
3/16/2016,3403,1022981,708396560.5,"1,315.77",2.92,0.22,1
3/17/2016,4043,1970953,926226487.6,"1,326.53",10.76,0.82,1
3/20/2016,3828,1925463,899786761.3,"1,343.93",17.4,1.31,1
3/21/2016,4561,1932439,970399707.6,"1,342.07",-1.86,-0.14,0
3/23/2016,3761,1426414,733316443.4,"1,345.53",3.46,0.26,1
3/24/2016,3957,1334974,845161199.3,"1,357.14",11.61,0.86,1
3/27/2016,4521,1485509,1140726294,"1,377.33",20.19,1.49,1
3/28/2016,4038,1636160,821987426.6,"1,374.75",-2.58,-0.19,0
3/29/2016,3014,1726537,587114710.8,"1,370.04",-4.71,-0.34,0
3/30/2016,2885,958693,697935206.2,"1,362.98",-7.06,-0.52,0
3/31/2016,3111,1007490,637746865.6,"1,355.48",-7.5,-0.55,0
4/3/2016,2610,700925,526777614.5,"1,351.54",-3.94,-0.29,0
4/4/2016,2649,745611,464412790,"1,362.53",10.99,0.81,1
4/5/2016,2780,986217,547101608.4,"1,375.26",12.73,0.93,1
4/6/2016,2846,979564,555857763.1,"1,377.42",2.16,0.16,1
4/10/2016,3118,1127105,673407299.6,"1,382.42",5,0.36,1
4/11/2016,2445,795501,468205189.9,"1,383.85",1.43,0.1,1
4/12/2016,2613,1470197,586507977.6,"1,388.63",4.78,0.35,1
4/14/2016,2621,1154695,559556799.6,"1,405.78",17.15,1.24,1
4/17/2016,2966,923277,661522094.8,"1,409.43",3.65,0.26,1
4/18/2016,3857,1948523,905184183.6,"1,428.60",19.17,1.36,1
4/19/2016,3816,1926912,823461525.2,"1,430.81",2.21,0.15,1
4/20/2016,4095,1397158,1078603178,"1,440.69",9.88,0.69,1
4/21/2016,3597,1239226,907919979.2,"1,441.67",0.98,0.07,1
4/24/2016,3641,1061835,859306079.5,"1,454.35",12.68,0.88,1
4/25/2016,4144,1563966,928145654.5,"1,461.75",7.4,0.51,1
4/26/2016,4815,1740129,999580864.1,"1,453.11",-8.64,-0.59,0
4/27/2016,3633,1344428,860966133.5,"1,458.38",5.27,0.36,1
4/28/2016,4256,1271279,965752586.7,"1,464.91",6.53,0.45,1
5/2/2016,3282,850894,761163664.1,"1,474.47",9.56,0.65,1
5/3/2016,4090,2325953,968121860.5,"1,471.95",-2.52,-0.17,0
5/4/2016,3650,970180,728374237.8,"1,468.11",-3.84,-0.26,0
5/5/2016,3751,865864,731140296,"1,463.13",-4.98,-0.34,0
5/8/2016,4230,1452269,937069282.5,"1,472.69",9.56,0.65,1
5/9/2016,4800,1579267,999174311.4,"1,482.90",10.21,0.69,1
5/10/2016,4447,1910610,1079903238,"1,484.04",1.14,0.08,1
5/11/2016,4700,1796902,1104882016,"1,481.18",-2.86,-0.19,0
5/12/2016,5099,1694535,1181570219,"1,481.94",0.76,0.05,1
5/15/2016,3774,1092509,775797654.1,"1,477.38",-4.56,-0.31,0
5/16/2016,3217,1338035,669534416,"1,467.51",-9.87,-0.67,0
5/17/2016,3807,1163596,747420280.2,"1,483.68",16.17,1.1,1
5/18/2016,4451,1423360,1026869876,"1,496.41",12.73,0.86,1
5/19/2016,5341,1962959,1085449670,"1,499.32",2.91,0.19,1
5/22/2016,5596,2823660,1248978417,"1,509.39",10.07,0.67,1
5/23/2016,5999,3362452,1444914544,"1,524.07",14.68,0.97,1
5/24/2016,6381,4062589,1654983164,"1,544.53",20.46,1.34,1
5/25/2016,5807,1913516,1441271250,"1,524.12",-20.41,-1.32,0
5/26/2016,5172,2607367,1381386260,"1,525.09",0.97,0.06,1
5/29/2016,4663,2178874,1180175099,"1,522.25",-2.84,-0.19,0
5/30/2016,5549,1991605,1195741957,"1,526.96",4.71,0.31,1
5/31/2016,5992,2480226,1322630504,"1,532.12",5.16,0.34,1
6/1/2016,5975,2351133,1226400677,"1,523.56",-8.56,-0.56,0
6/2/2016,5507,1401002,1049706995,"1,518.12",-5.44,-0.36,0
