,Unnamed: 0,company.name,company.code,company.cat
203,80460,United Finance Company Limited Promoter Share,xUFCLPS,Promoter Share
204,80749,Deprosc LaghuBitta Promoter Share,xDLPS,Promoter Share
205,81388,Taragaon Regency Hotels Ltd. Preference Share,xTRHLPS,Undetermined
206,81589,Miteri Development Bank Ltd. Promoter Share,xMDBLPS,Promoter Share
207,82409,Hama Merchant & Finance Ltd. Promoter Share,xHMFLPS,Promoter Share
208,82989,Excel Development Bank Ltd. Promoter Share,xEDBLPS,Promoter Share
209,83428,Guheyshwori Merchant & Finance Ltd. Promoter Share,xGMFLPS,Promoter Share
210,87976,Mount Makalu Development Bank Ltd.,xMMDBL,Development Bank
211,88511,Neco Insurace Co. Ltd. Promoter,xNICLP,Promoter Share
212,88990,Ekata Bikas Bank Ltd.,xEBBL,Development Bank
213,89690,Nepal Aawas Finance Limited Promoter Share,xNAFLPS,Promoter Share
214,90937,Mahalxmi Bikas Bank Ltd. Promotor Share,xMBBLPS,Promoter Share
215,90979,Sagarmatha Insurance Co. Ltd. Promoter Share,xSICLPS,Promoter Share
216,91260,Araniko Development Bank Limited Promoter Share,xADBLPS,Promoter Share
217,91519,Guras Life Insurance Company Ltd. Promoter Share,xGLICLPS,Promoter Share
218,91895,Garima Bikas Bank Limited Promoter Share,xGBBLPS,Promoter Share
219,92244,Synergy Finance Ltd. Promoter Share,xSFLPS,Promoter Share
220,92405,Gaumukhee Bikas Bank Ltd.,xGBBL,Development Bank
221,93853,Lumbini Bikas Bank Ltd. Promoter Share,xLBBLPS,Promoter Share
222,93976,Kalinchowk Development Bank Ltd.,xKDBL,Development Bank
223,95920,Bishwa Bikas Bank Limited Promoter Share,xBBBLPS,Promoter Share
224,96770,Siddhartha Insurance Ltd. Promoter Share,xSILPS,Promoter Share
225,96990,NMB Sulav Investment Fund-1,xNSIF,Mutual Fund
226,97042,Bhargav Bikash Bank Ltd. Promoter Share,xBBBLPS,Promoter Share
227,97254,Prabhu  Bank Limited Promoter Share,xPBLPS,Promoter Share
228,97574,Western Development Bank Limited Promoter Share,xWDBLPS,Promoter Share
229,97609,IME General Insurance  Ltd. Promoter Share,xIGILPS,Promoter Share
230,97681,Rastriya Beema Company Limited Promoter Share,xRBCLPS,Promoter Share
231,101657,Lumbini Finance Ltd Promoter Share,xLFLPS,Promoter Share
232,103888,Country Development Bank Ltd. Promoter Share,xCDBLPS,Promoter Share
233,104234,Paschimanchal Finance Co. Ltd. Promoter Share,xPFCLPS,Promoter Share
234,104410,Business Universal Development Bank Ltd. Promoter Share,xBUDBLPS,Promoter Share
235,104713,Muktinath Bikas Bank Ltd. Promoter Share,xMBBLPS,Promoter Share
236,109010,Central Finance Co. Ltd. Promoter Share,xCFCLPS,Promoter Share
237,109411,Laxmi Value Fund-1,xLVF,Mutual Fund
238,109660,Kamana Sewa Bikas Bank Limited Promoter Share,xKSBBLPS,Promoter Share
239,111195,Bhaktapur Finance Co. Ltd.,xBFCL,Finance Company
240,111294,Raptibheri Bikas Bank Ltd.,xRBBL,Development Bank
241,111857,Pacific Development Bank Ltd. Promoter Share,xPDBLPS,Promoter Share
242,112022,Bagmati Development Bank Ltd. Promoter Share,xBDBLPS,Promoter Share
243,114557,Professional Diyalo Bikas Bank Ltd. Promoter Share,xPDBBLPS,Promoter Share
244,114646,Lalitpur Finance Co. Ltd. Promoter Share,xLFCLPS,Promoter Share
245,116482,Hathway Finance Company Limited Promoter Share,xHFCLPS,Promoter Share
246,121580,Swabalamban Laghubitta Bittiya Sanstha Limited Promoter Share,xSLBSLPS,Promoter Share
247,122535,Tourism Development Bank Ltd. Prmoter Share,xTDBLPS,Development Bank
248,122985,Prudential Insurance Co. Ltd. Promoter Share,xPICLPS,Promoter Share
249,123995,Shangrila Development Bank Ltd. Promoter Share,xSDBLPS,Promoter Share
250,125016,Reliance Finance Ltd. Promoter Share,xRFLPS,Promoter Share
251,125418,Sagarmatha  Finance Limited Promoter Share,xSFLPS,Promoter Share
252,127684,First Micro Finance Laghubitta Bittiya Sanstha Limited Promoter Share,xFMFLBSLPS,Promoter Share
253,131409,Saptakoshi Development Bank Ltd.,xSDBL,Development Bank
254,132985,Kanchan Development Bank Limited Promoter Share,xKDBLPS,Promoter Share
255,133047,Sajha Bikas Bank Ltd.,xSBBL,Development Bank
256,136517,Civil Bank Ltd Promoter Share,xCBLPS,Promoter Share
257,137500,Nepal Insurance Co. Ltd Promoter Share,xNICLPS,Promoter Share
258,139785,Karnali Development Bank Limited Promoter Share,xKDBLPS,Promoter Share
259,140351,Kankai Bikas Bank Ltd. Promoter Share,xKBBLPS,Promoter Share
260,141182,Janata Bank Nepal Ltd. Promoter Share,xJBNLPS,Promoter Share
261,141563,Swarojgar Laghu Bitta Bikas Bank Ltd. Promoter Share,xSLBBBLPS,Promoter Share
262,142289,Chhimek Laghubitta Bikas Bank Limited Promoter Share,xCLBBLPS,Promoter Share
263,147686,Summit Laghubitta Bittiya Sanstha Limited Promoter Share,xSLBSLPS,Promoter Share
264,148413,Sindhu Bikas Bank Ltd. Promoter Share,xSBBLPS,Promoter Share
265,151083,Mission Development Bank Ltd. Promoter Share,xMDBLPS,Promoter Share
266,152418,Manjushree Finance Ltd. Promoter Share,xMFLPS,Promoter Share
267,152970,Mega  Bank Nepal Ltd. Promoter Share,xMBNLPS,Promoter Share
268,153133,NLG Insurance Company Ltd. Promoter Share,xNICLPS,Promoter Share
269,157255,Kalika Laghubitta Bittiya Sanstha Ltd Promoter Share,xKLBSLPS,Promoter Share
270,159151,Himalayan General Insurance Co. Ltd Promoter Share,xHGICLPS,Promoter Share
271,162020,City Express Finance Co. Ltd. Promoter Share,xCEFCLPS,Promoter Share
272,164925,NagBeli LaghuBitta Bikas Bank Ltd. Promoter Share,xNLBBLPS,Promoter Share
273,165812,Purnima Bikas Bank Ltd. Promoter Share,xPBBLPS,Promoter Share
274,165966,Samriddhi Finance Company Limited Promoter Share,xSFCLPS,Promoter Share
275,169058,Corporate Development Bank Ltd. Promoter Share,xCDBLPS,Promoter Share
276,170077,Hamro Bikas Bank Ltd. Promoter Share,xHBBLPS,Promoter Share
277,171060,Century Commercial Bank Ltd. Promoter Share,xCCBLPS,Promoter Share
278,171313,Rural Microfinance Development Centre Ltd. Promoter Share,xRMDCLPS,Promoter Share
279,174309,Jebils Finance Ltd. Promoter Share,xJFLPS,Promoter Share
280,175373,United Insurance Co. (Nepal) Ltd. Promoter Share,xUICLPS,Promoter Share
281,178633,Nepal Community Development Bank Ltd. Promoter Share,xNCDBLPS,Promoter Share
282,179294,Gandaki Bikas Bank Limited Promoter Share,xGBBLPS,Promoter Share
283,184429,Sana Kisan Bikas Bank Ltd Promoter Share,xSKBBLPS,Promoter Share
284,185535,Prime Life Insurance Company Limited Promoter Share,xPLICLPS,Promoter Share
285,186883,Grameen Bikas Laghubitta Bittiya Sanstha Ltd. Promoter Share,xGBLBSLPS,Promoter Share
286,187398,Multipurpose Finance Company  Limited Promoter Share,xMFCLPS,Promoter Share
287,190416,Nepal Finance Ltd. Promoter Share,xNFLPS,Promoter Share
288,220203,Nirdhan Utthan Bank Limited Promoter Share,xNUBLPS,Promoter Share
289,223270,Mirmire Microfinance Development Bank Ltd. Promoter Share,xMMDBLPS,Promoter Share
290,234405,Naya Sarathi Laghubitta Bittiya Sanstha Limited Promoter Share,xNSLBSLPS,Promoter Share
291,234802,Shine Resunga Development Bank Ltd. Promoter Share,xSRDBLPS,Promoter Share
292,250049,Lumbini General Insurance Co. Ltd. Promoter Share,xLGICLPS,Promoter Share
