Sno,Merger 1,Merger 2,Merger 3,Merger 4,Merger 5,Final Merged,Sector,Action,Swap Ratio,Trading,Final Approval Date,Joint Transaction Date
80,Global IME Bank Limited,Reliable Development Bank Limited,,,,Global IME Bank Limited,Commercial Bank,Acquisition,100:82.9,Yes,2017-07-09,2017-07-09
81,Nepal Investment Bank Limited,Ace Development Bank Ltd.,,,,Nepal Investment Bank Limited,Commercial Bank,Acquisition,100:41,Yes,2017-07-13,2017-07-13
82,Civil Bank Ltd,Unique Finance Ltd.,,,,Civil Bank Ltd,Commercial Bank,Acquisition,100:90,Yes,2017-06-15,2017-07-02
83,Civil Bank Ltd,Hama Merchant & Finance Ltd.,,,,Civil Bank Ltd,Commercial Bank,Acquisition,100:89,Yes,2017-06-15,2017-07-02
84,Om Development Bank Ltd.,Manaslu Bikas Bank Ltd.,,,,Om Development Bank Ltd.,Corporate Debentures,Merger,100:92,No,2017-05-31,2017-06-16
85,Deva Bikas Bank Limited,Sahara Bikas Bank Ltd.,,,,Deva Bikas Bank Limited,Corporate Debentures,Acquisition,1:1,Yes,2017-06-10,2017-06-15
86,Century Commercial Bank Ltd.,Innovative Development Bank Ltd.,Araniko Development Bank Limited,,,Century Commercial Bank Ltd.,Commercial Bank,Acquisition,100:85:90,Yes,2017-05-31,2017-06-11
87,Kabeli Bikas Bank Limited,Mount Makalu Development Bank Ltd.,,,,Kabeli Bikas Bank Limited,Development Bank,Acquisition,100:88,Yes,2018-05-14,2018-06-10
88,Prime Commercial Bank Ltd.,Biratlaxmi Bikas Bank Limited,Country Development Bank Ltd.,,,Prime Commercial Bank Ltd.,Commercial Bank,Acquisition,100:75:40,Yes,2017-04-03,2017-04-30
89,Janata Bank Nepal Ltd.,Triveni Bikas Bank Limited,,,,Janata Bank Nepal Ltd.,Commercial Bank,Merger,1:1,No,2017-04-07,2017-04-07
90,Bhaktapur Finance Co. Ltd.,Central Finance Co. Ltd.,,,,Central Finance Co. Ltd.,Finance,Acquisition,1:1,No,2017-03-05,2017-03-23
91,Global IME Bank Limited,Pacific Development Bank Limited,,,,Global IME Bank Limited,Commercial Bank,Acquisition,100:69.26,Yes,2017-02-07,2017-02-12
92,Sunrise Bank Limited,NIDC Capital Markets Ltd.,,,,Sunrise Bank Limited,Commercial Bank,Acquisition,100:65,Yes,2017-01-26,2017-02-10
93,Shree Investment Finance Co. Ltd.,Everest Finance Ltd.,,,,Shree Investment Finance Co. Ltd.,Finance,Merger,100:65,No,2017-01-06,2017-02-01
94,Mega Bank Nepal Ltd.,Tourism Development Bank Limited,,,,Mega  Bank Nepal Ltd.,Commercial Bank,Acquisition,100:95,No,2018-04-22,2018-05-13
95,Grand Bank Nepal Limited,Nepal Development Bank Limited,,,,Prabhu Bank Limited,Commercial Bank,Merger,1:1,Yes,2017-01-10,2017-01-15
96,Tourism Development Bank Limited,Matribhumi Development Bank Ltd.,Kalinchowk Development Bank Ltd.,,,Tourism Development Bank Limited,Corporate Debentures,Acquisition,100:92:77,Yes,2016-12-24,2017-01-08
97,Sanima Bank Limited,Bagmati Development Bank Ltd.,,,,Sanima Bank Limited,Commercial Bank,Acquisition,100:41,Yes,2016-12-16,2017-01-13
98,Laxmi Bank Limited,Professional Diyalo Bikas Bank Ltd.,,,,Laxmi Bank Limited,Commercial Bank,Acquisition,100:50,Yes,2016-12-26,2017-01-15
99,Nepal Credit And Commercial Bank Limited,Infrastructure Development Bank Ltd.,Apex Development Bank Ltd.,Supreme Development Bank Ltd.,International Development Bank Ltd,Nepal Credit And Commercial Bank Limited,Commercial Bank,Merger,100 : 76 : 47 : 77 : 72,No,2016-12-05,2017-01-01
100,Civil Bank Ltd,International Leasing & Finance Co. Ltd.,,,,Civil Bank Ltd,Commercial Bank,Acquisition,100:74.72,Yes,2016-09-27,2016-10-17
101,Garima Bikas Bank Limited,Subhechha Bikas Bank Limited,,,,Garima Bikas Bank Limited,Development Bank,Merger,1:1,Yes,2016-09-09,2016-09-20
102,Kumari Bank Limited,Kasthamandap Development Bank Limited,Mahakali Bikas Bank Limited,Paschimanchal Finance Co. Ltd.,,Kumari Bank Limited,Commercial Bank,Acquisition,100:85:85:85,Yes,2017-06-21,2017-06-26
103,Bank of Kathmandu Ltd.,Lumbini Bank Limited,,,,Bank of Kathmandu Ltd.,Commercial Bank,Merger,100:83,Yes,2016-07-08,2016-07-14
104,Malika Development Bank Limited Promoter Share,Maha Laxmi Finance Ltd.,Siddharth Finance Ltd.,,,Mahalaxmi Bikas Bank Ltd.,Development Bank,Merger,1:1:1,No,2016-08-17,2016-09-04
105,Citizens Bank International Limited,Premier Finance Co. Ltd.,,,,Citizens Bank International Limited,Commercial Bank,Acquisition,100:28,Yes,2016-07-04,2016-07-17
106,Siddhartha Bank Limited,Business Universal Development Bank Ltd.,,,,Siddhartha Bank Limited,Commercial Bank,Merger,100:55,Yes,2016-06-05,2016-06-21
107,City Development Ltd.,Om Finance Ltd.,,,,Om Development Bank Ltd.,Commercial Bank,Merger,95.90107 : 104.62696,Yes,2016-03-16,2016-04-04
108,Citizens Bank International Limited,Nepal Housing & Merchant Finance Ltd.,Peoples Finance Ltd.,,,Citizens Bank International Limited,Commercial Bank,Acquisition,100:40:40,Yes,2015-04-09,2015-05-08
109,NDEP Development Bank Limited,Rising Development Bank Ltd.,,,,Deva Bikas Bank Limited,Development Bank,Acquisition,1:1,Yes,2015-07-02,2015-07-10
110,Biratlaxmi Bikas Bank Limited,Khandbari Development Bank Ltd,,,,Biratlaxmi Bikas Bank Limited,Corporate Debentures,Merger,100:75,No,2014-04-06,2014-05-17
111,Royal Merchant Banking and Finance Limited ,Rara Bikas Bank Limited,Api Finance Limited,,,Apex Development Bank Ltd.,Development Bank,Acquisition,1:1:1,No,2013-07-09,2013-07-15
112,Nepal Bangladesh Bank Limited,Nepal Shree Lanka Merchant Banking & Finance Ltd,,,,Nepal Bangladesh Bank Limited,Commercial Bank,Merger,2:1,Yes,2011-01-02,2011-01-23
113,Kasthamandap Development Bank Limited,Shikhar Finance Limited,,,,Kasthamandap Development Bank Limited,Development Bank,Merger,1:1,Yes,2012-03-12,2012-04-13
114,Infrastructure Development Bank Ltd.,Swastik Merchant Finance Co. Ltd.,,,,Infrastructure Development Bank Ltd.,Development Bank,Merger,1:1,No,2012-06-11,2012-07-10
115,Business Development Limited,Universal Finance Ltd.,,,,Business Universal Development Bank Ltd.,Development Bank,Merger,1:1,No,2012-02-13,2012-04-04
116,Machhapuchhre Bank Limited,Standard Finance Ltd.,,,,Machhapuchhre Bank Limited,Commercial Bank,Merger,100:85,Yes,2012-06-25,2012-07-09
117,Global IME Bank Limited,IME Financial Institution,Lord Buddha Finance Limited,,,Global IME Bank Limited,Commercial Bank,Merger,100 : 79 : 70,Yes,2012-06-25,2012-07-09
118,Pashupati Development Limited,Udhyam Bikas Bank Limited,,,,Axis Development Bank Limited,Development Bank,Acquisition,1:1,No,2012-07-08,2012-07-13
119,Vibor Bikash Bank Limited,Bhajuratna Finance & Saving Co. Ltd.,,,,Bhaktapur Finance Co. Ltd.,Development Bank,Acquisition,1:1.20,No,2012-08-13,2012-09-02
120,Butwal Finance Limited,Alpic Everest Finance Co. Ltd.,CMB Finance Limited,,,Synergy Finance Ltd.,Finance,Merger,1.20 :1.10 :0.88,Yes,2012-11-07,2012-12-06
121,Shine Development Bank Limited,Resunga Bikas Bank Limited,,,,Shine Resunga Development Bank Ltd.,Development Bank,Acquisition,1:1,Yes,2013-04-26,2013-06-30
122,NIC Bank Limited,Bank of Asia Nepal Limited,,,,NIC Asia Bank Ltd.,Commercial Bank,Acquisition,100:50,Yes,2013-04-26,2013-06-30
123,Diyalo Bikash Bank Limited,Professional Bikas Bank Ltd.,,,,Professional Diyalo Bikas Bank Ltd.,Development Bank,Acquisition,1:1,Yes,2013-06-17,2013-06-30
124,Global IME Bank Limited,Social Development Limited,Gulmi Bikas Bank Ltd.,,,Global IME Bank Limited,Commercial Bank,Merger,100: 40 : 50,Yes,2013-07-09,2013-07-14
125,Global IME Bank Limited,Commerz and Trust Bank Nepal Ltd.,,,,Global IME Bank Limited,Commercial Bank,Acquisition,100:65,Yes,2014-04-03,2014-04-09
126,Reliable Finance Ltd.,Subha Laxmi Finance Co. Ltd.,Nepal Consumer Development Bank Ltd.,,,Reliable Development Bank Limited,Corporate Debentures,Merger,1.127 :0.89 :0.94,Yes,2014-04-04,2014-04-16
127,Siddharth Finance Ltd.,Imperial Financial Inst. Ltd.,,,,Siddharth Finance Ltd.,Finance,Acquisition,1:1,Yes,2014-04-04,2014-05-08
128,Civil Bank Ltd,Axis Development Bank Limited,Civil Merchant Bittiya Santha Ltd.,,,Civil Bank Ltd,Commercial Bank,Acquisition,1 :0.79 :0.79,Yes,2014-04-06,2014-04-14
129,Shangrila Development Bank Ltd.,Bagheshwori Development Bank Limited,,,,Shangrila Development Bank Ltd.,Development Bank,Merger,1:1,Yes,2013-06-13,2014-07-13
130,Lumbini Bank Limited,Nava Durga Finance Co. Ltd.,,,,Lumbini Bank Limited,Commercial Bank,Merger,1:1,No,2014-06-18,2014-06-29
131,Kist Bank Ltd.,Prabhu Bikas Bank Limited,Gaurishankar Development Bank Ltd.,Zenith Finance Limited,,Prabhu Bank Limited,Commercial Bank,Acquisition,97.31 : 107.31 : 107.31 : 92.31,Yes,2014-08-06,2014-09-15
132,Triveni Bikas Bank Limited,Public Development Bank Limited,Bright Development Bank Ltd,,,Triveni Bikas Bank Limited,Corporate Debentures,Merger,1.04 :0.95 :0.95,Yes,2015-04-23,2015-06-01
133,Garima Bikas Bank Limited,Nilgiri Bikas Bank Limited,,,,Garima Bikas Bank Limited,Development Bank,Merger,1:1,Yes,2015-07-09,2016-07-13
134,Muktinath Bikas Bank Ltd.,Civic Development Bank Ltd,,,,Muktinath Bikas Bank Ltd.,Development Bank,Acquisition,100:86,Yes,2015-07-09,2015-07-15
135,NMB Bank Limited,Pathibhara Bikas Bank Limited,Bhrikuti Vikash Bank Limited,Clean Energy Development Bank Limited,Prudential Finance Company Limited,NMB Bank Limited,Commercial Bank,Merger,1 :0.67 :0.87 :0.75 :0.43,Yes,2015-09-23,2015-10-18
136,Prabhu Bank Limited,Grand Bank Nepal Limited ,,,,Prabhu Bank Limited,Commercial Bank,Merger,121.45 :65.58,Yes,2016-01-29,2016-02-12
137,Mega Bank Nepal Ltd.,Paschimanchal Bikash Bank Limited,,,,Mega  Bank Nepal Ltd.,Commercial Bank,Merger,104.25 : 67,Yes,2016-04-12,2016-04-25
138,Kailash Bikas Bank Ltd.,Metro Development Bank Limited,Nepal Express Finance Ltd.,,,Kailash Bikas Bank Ltd.,Corporate Debentures,Merger,1 :0.87 :0.85,Yes,2015-05-18,2016-05-30
139,Siddhartha Development Bank Ltd.,Ekata Bikas Bank Ltd.,Nepal Aawas Finance Limited,,,Siddhartha Development Bank Ltd.,Corporate Debentures,Acquisition,1:1:1,Yes,2016-05-26,2016-06-10
140,Shine Resunga Development Bank Ltd.,Gaumukhee Bikas Bank Ltd.,,,,Shine Resunga Development Bank Ltd.,Development Bank,Merger,100:90,Yes,2016-05-26,2016-06-10
141,Kamana Sewa Bikas Bank Limited,Kaski Finance Limited,,,,Kamana Sewa Bikas Bank Limited,Development Bank,Acquisition,1:1,Yes,2016-06-02,2016-06-20
142,Sunrise Bank Limited,Narayani National Finance Limited,,,,Sunrise Bank Limited,Commercial Bank,Acquisition,100:77,Yes,2016-07-03,2016-07-14
143,Jyoti Bikas Bank Limited,Jhimruk Bikas Bank Ltd.,,,,Jyoti Bikas Bank Limited,Development Bank,Merger,1:1,Yes,2016-08-01,2016-08-12
144,Nepal Investment Bank Limited,City Express Finance Co. Limited,,,,Nepal Investment Bank Limited,Commercial Bank,Acquisition,1:1,No,2016-08-01,2016-08-12
