,company.name,company.code
446890,Citizens Super 30 Mutual Fund,C30MF
447421,National Laghubitta Bittiya Sanstha Limited,NMFBS
448361,Kutheli Bukhari Small Hydropower Limited,KBSH
449500,Laxmi Sunrise Bank Limited,LSL
449593,Nadep Laghubitta Bittiya Sanstha Ltd. Promoter Share,NADEPP
449834,Laxmi Sunrise Bank Limited Promoter Share,LSLPO
449886,Himalayan Life Insurance Limited Promoter Share,HLIPO
450177,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited Promoter Share,USLBP
452753,Reliable Nepal Life Insurance Limited,RNLI
453563,Laxmi Value Fund 2,LVF2
453602,Sun Nepal Life Insurance Company Limited,SNLI
454160,Manakamana Engineering Hydropower Limited,MEHL
454161,Upper Lohore Khola Hydropower Company Limited,ULHC
455015,Citizen Life Insurance Company Limited,CLI
455640,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited Promoter,SKBBLP
456670,Sadhana Laghubitta Bittiya Sanstha Limited Promoter Shares,SDLBSLP
457261,Mandu Hydropower Limited,MANDU
457298,Hathway Investment Nepal Limited,HATHY
457546,Bhagawati Hydropower Development Company Limited,BGWT
457547,Mid Solu Hydropower Limited,MSHL
459016,Sonapur Minerals And Oil Limited,SONA
461211,8.5% Machhapuchchhre Debenture 2087,MBLD87
461877,Mathillo Mailun Khola Jalvidhyut Limited,MMKJL
465073,Citizen Investment Trust Promoter Share,CITPO
465602,Nepal Reinsurance Company Limited Promoter Share,NRICP
465666,Trishuli Jal Vidhyut Company Limited,TVCL
465889,10.50% Everest Bank Limited Debenture 2085,EBLD85
467090,Muktinath Krishi Company Limited,MKCL
467509,"Himalayan Bank Limited Bond""",HBLD86
467656,Jyoti Bikash Bank Bond 2087,JBBD87
467679,11% KBL Debenture 2089,KBLD89
467912,Prabhu Mahalaxmi Life Insurance Limited,PMLI
468236,8.5% RBBL Debenture 2083,RBBD83
468605,Nepal Warehousing Company Limited,NWCL
468624,Vision Lumbini Urja Company Limited,VLUCL
468625,Chirkhwa Hydropower Limited,CKHL
470453,9% Nepal SBI Bank Rinpatra 2089,SBID89
470750,Siddhartha Investment Growth Scheme 3,SIGS3
471377,Himalayan Reinsurance Limited,HRL
472606,Himalayan 80-20,H8020
475885,National Laghubitta Bittiya Sanstha Limited Promoter,NMFBSP
476904,Prabhu Mahalaxmi Life Insurance Limited promotor,PMLIP
478464,NIC ASIA Growth Fund-2,NICGF2
480105,IGI Prudential insurance Limited Promoter Share,IGIPO
480743,Sagarmatha Lumbini Insurance Co. Limited Promoter Share,SALICOPO
481680,9% Kamana Sewa Bikas Bank Limited Debenture 2087,KSBBLD87
486096,Sarbottam Cement Limited,SARBTM
488283,9% Nabil Debenture 2087,NABILD87
488285,10% NIMB Debenture 2090,NIMBD90
488904,11% L.B.B.L. Debenture 2089,LBBLD89
489195,10.75% SBL Debenture 2089,SBLD89
493585,11% Mahalaxmi Debenture 2089,MLBLD89
493918,10% Citizens Bank Debenture 2090,CIZBD90
494521,10.30% Standard Chartered Bank Limited Debenture,SCBD
494544,Kumari Sabal Yojana,KSY
495016,10% NIC Asia Debenture 2085/86,NICAD 85/86
497432,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,NMLBBL
498192,Muktinath Debenture 2084/85,MND84/85
498253,NIC ASIA Rinpatra 2088,NICD88
499320,Swarojgar Laghubitta Bittiya Sanstha Ltd.,SLBBL
500005,Nepal Infrastructure Bank Limited Promoter,NIFRAP
500473,NIBL Stable Fund,NIBLSTF
504904,"BOK Debenture 2086 """"KA""""",BOKD86KA
505096,United Ajod Insurance Limited Promoter Share,UAILPO
505227,10.25% Sanima Debenture 2089,SBD89
505228,10.15% Prime Debenture 2084,PBD84
505241,"Global IME Bank Debenture""",GBILD84/85
509390,NMB Debenture 10.75%-2089/90,NMBD89/90
515492,10% KBL Debenture 2090,KBLD90
515941,Matribhumi Lagubitta Bittiya Sanstha Limited,MATRI
517008,Sampada Laghubitta Bittiya Sanstha Limited,SMPDA
526171,Unique Nepal Laghubitta Bittiya Sanstha Limited Promoter,UNLBP
526646,Matribhumi Lagubitta Bittiya Sanstha Limited Promoter,MATRIP
529525,CEDB Holdings Limited,CHDC
529554,Garima Debenture,GBBD85
529608,Global IME Bank Debenture,GBILD84/85
530853,"BOK Debenture 2086 ""KA""",BOKD86KA
531779,Himalayan Bank Limited Bond,HBLD86
541026,Nerude Mirmire Laghubitta Bittiya Sanstha Limited Promoter,NMLBBLP
545897,Muktinath Mutual Fund 1,MNMF1
547443,CYC Nepal Laghubitta Bittiya Sanstha Limited Promoter,CYCLP
547562,Swarojgar Laghubitta Bittiya Sanstha Ltd. Promoter Share,SLBBLP
548000,Sanima GIC Insurance Limited Promoter Share,SGICP
550332,Guardian Micro Life Insurance Limited,GMLI
552037,Sampada Laghubitta Bittiya Sanstha Limited Promoter,SMPDAP
